variante,canonico,codigo,classe,origem,confianca_mapeamento,risco_palavra_comum,ocorrencias,status,confianca,arquivo,evidencia
afetividade,Pulsação dos Elétrons Como Afetividade Humana,RC-832,variacao,etimologia,referencia_oral,nao,0,verificado,média,RC-832-pulsacao-dos-eletrons-como-afetividade.md,"- **Grafia preferida:** Pulsação dos Elétrons Como Afetividade Humana - **Variações STT capturadas:** ""pulsação dos elétrons"", ""comportamento biológico"", ""afetividade"", ""identidade"
Agar a segunda,Agar como 2ª Tentativa Fracassada de Fêmea para Adão,RC-817,variacao,etimologia,referencia_oral,nao,0,verificado,alta,RC-817-agar-como-segunda-tentativa.md,"- **Grafia preferida:** Agar como 2ª Tentativa Fracassada de Fêmea para Adão - **Variações STT capturadas:** ""Agar"", ""A gar"", ""Agar a segunda"" - **Idioma de origem:** Hebraico (הָג"
agentes básicos da vida universal (os elétrons,Agentes da Vida Universal,RC-148,variacao,etimologia,conceitual,nao,0,verificado,alta,RC-148-agentes-da-vida-universal.md,"- **Grafia preferida:** Agentes da Vida Universal - **Variações:** agentes da vida; agentes da informação cósmica; agentes básicos da vida universal (os elétrons, por extensão) - *"
agentes da informação cósmica,Agentes da Vida Universal,RC-148,variacao,etimologia,conceitual,nao,0,verificado,alta,RC-148-agentes-da-vida-universal.md,"- **Grafia preferida:** Agentes da Vida Universal - **Variações:** agentes da vida; agentes da informação cósmica; agentes básicos da vida universal (os elétrons, por extensão) - *"
agentes da vida,Agentes da Vida Universal,RC-148,variacao,etimologia,conceitual,nao,0,verificado,alta,RC-148-agentes-da-vida-universal.md,"- **Grafia preferida:** Agentes da Vida Universal - **Variações:** agentes da vida; agentes da informação cósmica; agentes básicos da vida universal (os elétrons, por extensão) - *"
agentes de dominação,Estratégia dos Avatares,RC-797,variacao,etimologia,conceitual,nao,0,verificado,média,RC-797-estrategia-dos-avatares.md,"- **Grafia preferida:** Estratégia dos Avatares - **Variações STT capturadas:** ""avatares"", ""agentes de dominação"", ""instrumentos de dominação"" - **Idioma de origem:** Sânscrito (अ"
agentes de Olm,Agentes do Quarto Logos,RC-281,variacao,etimologia,conceitual,nao,0,verificado,alta,RC-281-agentes-do-quarto-logos.md,"- Grafia preferida: Agentes do Quarto Logos - Variações: agentes de Olm; esclarecedores - Logos: Quarto Logos / Olm (RC-092, RC-252)"
Aia (corruptela frequente em transcrições — corrigida em 2026-08-31,"Aya (canônica, em RC-009 e B031)",RC-834,variacao,etimologia,referencia_oral,nao,0,verificado,alta,RC-834-familia-aya.md,"- **Grafia preferida:** **Aya** (canônica, em RC-009 e B031) - **Variações:** Aia (corruptela frequente em transcrições — corrigida em 2026-08-31) - **Idioma de origem:** Hebraico "
Aie (corruptela frequente em transcrições — corrigida em 2026-08-31,"Aye (canônica, em RC-009 e B031)",RC-835,variacao,etimologia,referencia_oral,nao,0,verificado,alta,RC-835-familia-aye.md,"- **Grafia preferida:** **Aye** (canônica, em RC-009 e B031) - **Variações:** Aie (corruptela frequente em transcrições — corrigida em 2026-08-31) - **Idioma de origem:** Sânscrito"
Alfa Aurigae (nota p. 10,Capela (Sistema),RC-039,variacao,etimologia,conceitual,nao,0,verificado,alta,RC-039-capela-sistema.md,"- **Grafia preferida:** Capela (Sistema) - **Variações:** ""sistema solar de Capela""; ""sistema de Capela"" (B057); Alfa Aurigae (nota p. 10) - **Obs.:** no universo RC, ""Capela"" desi"
alguém observador,Eu Observador,RC-890,variacao,etimologia,conceitual,nao,0,verificado,média,RC-890-eu-observador.md,- **Grafia preferida:** Eu Observador - **Variações:** alguém observador; observador interno - **Idioma de origem:** Português
aliança entre os três,Pactos de Javé (Brama / Vishnu / Shiva),RC-781,variacao,etimologia,referencia_oral,nao,0,verificado,média,RC-781-pactos-de-jave.md,"- **Grafia preferida:** Pactos de Javé (Brama / Vishnu / Shiva) - **Variações STT capturadas:** ""pacto entre Javé, Vishnu e Shiva"", ""aliança entre os três"", ""pactos desastrosos"" - "
Alinhar-se consigo mesmo,Disciplina dos 3As,RC-552,variacao,etimologia,conceitual,nao,0,verificado,alta,RC-552-disciplina-dos-3as-respiracao-mente-alinhamento.md,"- **Grafia preferida:** Disciplina dos 3As - **Variações:** ""os 3As""; ""Aprofundar a respiração; Acalmar a mente; Alinhar-se consigo mesmo"" - **Obs.:** não confundir com outras sigl"
alteração vibratória,O Enigma da Transfiguração,RC-366,variacao,etimologia,conceitual,nao,0,verificado,alta,RC-366-o-enigma-da-transfiguracao.md,- **Grafia preferida:** O Enigma da Transfiguração - **Variações:** Transfiguração de Jesus; alteração vibratória; o encontro com Moisés e Elias
alternativa homo,Eva como 3ª Tentativa de Fêmea para Adão (Homem + Mulher da Espécie Sá,RC-814,variacao,etimologia,referencia_oral,nao,0,verificado,alta,RC-814-eva-como-terceira-tentativa.md,"- **Grafia preferida:** Eva como 3ª Tentativa de Fêmea para Adão (Homem + Mulher da Espécie Sábia) - **Variações STT capturadas:** ""Eva"", ""alternativa homo"", ""homem com mulher da e"
amor incondicional da Deidade,Democracia do Amor da Deidade,RC-333,variacao,etimologia,referencia_oral,nao,0,verificado,alta,RC-333-democracia-do-amor-da-deidade.md,- **Grafia preferida:** Democracia do Amor da Deidade - **Variações:** democracia do amor; ministério amoroso da Deidade; amor incondicional da Deidade
ANAC,"Ananque (estudou as necessidades dos códigos podres, com Moros; base d",RC-777,variacao,etimologia,referencia_oral,nao,0,verificado,média,RC-777-ananque-estudou-as-necessidades-dos-codigos-podres.md,"- **Grafia oficial: ANANQUE** (consagrada pela Devolutiva O-4 da P2021-07-24 — a deusa grega da necessidade/inevitabilidade, mãe das Moiras na tradição órfica). - Variações STT cap"
Anak,"Ananque (estudou as necessidades dos códigos podres, com Moros; base d",RC-777,variacao,etimologia,referencia_oral,nao,0,verificado,média,RC-777-ananque-estudou-as-necessidades-dos-codigos-podres.md,"- **Grafia oficial: ANANQUE** (consagrada pela Devolutiva O-4 da P2021-07-24 — a deusa grega da necessidade/inevitabilidade, mãe das Moiras na tradição órfica). - Variações STT cap"
ANEC,"Ananque (estudou as necessidades dos códigos podres, com Moros; base d",RC-777,variacao,etimologia,referencia_oral,nao,0,verificado,média,RC-777-ananque-estudou-as-necessidades-dos-codigos-podres.md,"- **Grafia oficial: ANANQUE** (consagrada pela Devolutiva O-4 da P2021-07-24 — a deusa grega da necessidade/inevitabilidade, mãe das Moiras na tradição órfica). - Variações STT cap"
anjo caído,Lúcifer (canônico),RC-078,variacao,etimologia,conceitual,nao,0,verificado,alta,RC-078-lucifer-yel-luzbel.md,- **Grafia preferida:** Lúcifer (canônico); Yel Luzbel (nome biodemo) - **Variações:** Portador da Luz; Estrela da Manhã; anjo caído; diabo (concepção deturpada) - **Idioma de orig
Anjos caídos (equivalência parcial,Exilados de Capela,RC-007,variacao,etimologia,conceitual,nao,0,verificado,alta,RC-007-exilados-de-capela.md,"- **Grafia preferida:** Exilados de Capela - **Variações:** Anjos caídos (equivalência parcial, ver RC-020); Espíritos exilados de Capela"
Ank,"Ananque (estudou as necessidades dos códigos podres, com Moros; base d",RC-777,variacao,etimologia,referencia_oral,nao,0,verificado,média,RC-777-ananque-estudou-as-necessidades-dos-codigos-podres.md,"- **Grafia oficial: ANANQUE** (consagrada pela Devolutiva O-4 da P2021-07-24 — a deusa grega da necessidade/inevitabilidade, mãe das Moiras na tradição órfica). - Variações STT cap"
Antares,Antares (Sistema),RC-021,variacao,etimologia,conceitual,nao,0,verificado,alta,RC-021-antares-sistema.md,"- **Grafia preferida:** Antares (Sistema) - **Variações:** ""Antares""; constelação de Scorpius/Escorpião (nota) - **Obs.:** a nota astronômica vem da ed. 2022 (adaptador) — **quaren"
Antteré,Antérion,RC-597,variacao,etimologia,conceitual,nao,0,verificado,média,RC-597-anterion.md,"- Grafia canônica fixada pelo curador: Antérion. Variações STT: Anterium, Antério, Antteré, ané. - **Fonte de decisão:** Quadro 9 aprovado pelo curador."
Antério,Antérion,RC-597,variacao,etimologia,conceitual,nao,0,verificado,média,RC-597-anterion.md,"- Grafia canônica fixada pelo curador: Antérion. Variações STT: Anterium, Antério, Antteré, ané. - **Fonte de decisão:** Quadro 9 aprovado pelo curador."
ané,Antérion,RC-597,variacao,etimologia,conceitual,nao,0,verificado,média,RC-597-anterion.md,"- Grafia canônica fixada pelo curador: Antérion. Variações STT: Anterium, Antério, Antteré, ané. - **Fonte de decisão:** Quadro 9 aprovado pelo curador."
aos vinte anos entre os celtas,Os 20 Anos de Jesus entre os Celtas,RC-373,variacao,etimologia,referencia_oral,nao,0,verificado,alta,RC-373-os-20-anos-de-jesus-entre-os-celtas.md,- **Grafia preferida:** Os 20 Anos de Jesus entre os Celtas - **Variações:** Jesus e o Druida da Montanha; aos vinte anos entre os celtas; os anos perdidos de Jesus
Apocalipse,Cápsula do Tempo de Sophia,RC-274,variacao,etimologia,referencia_oral,nao,0,verificado,alta,RC-274-capsula-do-tempo-de-sophia-joao.md,"- **Grafia preferida:** Cápsula do Tempo de Sophia - **Variações:** a ""cápsula do tempo"" (João/Apocalipse); promessas do retorno; ""os tempos são chegados"""
Apolônio (filósofo neopitagórico,Apolônio de Tiana,RC-259,variacao,etimologia,conceitual,nao,0,verificado,alta,RC-259-apolonio-de-tiana-encarnacao-do-quarto-logos.md,- **Grafia preferida:** Apolônio de Tiana - **Variações:** Apolônio (filósofo neopitagórico); encarnação do Quarto Logos
Aprofundar a respiração,Disciplina dos 3As,RC-552,variacao,etimologia,conceitual,nao,0,verificado,alta,RC-552-disciplina-dos-3as-respiracao-mente-alinhamento.md,"- **Grafia preferida:** Disciplina dos 3As - **Variações:** ""os 3As""; ""Aprofundar a respiração; Acalmar a mente; Alinhar-se consigo mesmo"" - **Obs.:** não confundir com outras sigl"
arcanos,Memória dos Elétrons e Arcanos,RC-829,variacao,etimologia,referencia_oral,nao,0,verificado,média,RC-829-memoria-dos-eletrons-e-arcanos.md,"- **Grafia preferida:** Memória dos Elétrons e Arcanos - **Variações STT capturadas:** ""memória dos elétrons"", ""arcanos"", ""inconsciente dos elétrons"", ""memória dos antielétrons"", """
arquiteto atormentado,Ser-Criador fracassado,RC-422,variacao,etimologia,conceitual,nao,0,verificado,alta,RC-422-ser-criador-fracassado-autoconfissao-de-jave.md,"- **Grafia preferida:** Ser-Criador fracassado - **Variações:** Criador fracassado; arquiteto atormentado; Deus doente; ""Ser-Criador fracassado"" (citação da crônica)"
Arquiteto por Excelência,Arquiteto Universal,RC-207,variacao,etimologia,conceitual,nao,0,verificado,alta,RC-207-arquiteto-universal.md,"- **Grafia preferida:** Arquiteto Universal - **Variações:** arquiteto universal (função); divindade menor co-criadora; ""Arquiteto por Excelência""; identidade prévia: Prabrajna/Pra"
arquiteto universal (função,Arquiteto Universal,RC-207,variacao,etimologia,conceitual,nao,0,verificado,alta,RC-207-arquiteto-universal.md,"- **Grafia preferida:** Arquiteto Universal - **Variações:** arquiteto universal (função); divindade menor co-criadora; ""Arquiteto por Excelência""; identidade prévia: Prabrajna/Pra"
"arquivo mental"" (singular",Arquivos Mentais,RC-548,variacao,etimologia,conceitual,nao,0,verificado,alta,RC-548-arquivos-mentais-colecao-de-conceitos-no-psiquismo.md,"- **Grafia preferida:** Arquivos Mentais - **Variações:** ""arquivo mental"" (singular); ""Arquivos Mentais"" (título do capítulo/série) - **Obs.:** conceito central da série Mentalma;"
"Arquivos Mentais"" (título do capítulo",Arquivos Mentais,RC-548,variacao,etimologia,conceitual,nao,0,verificado,alta,RC-548-arquivos-mentais-colecao-de-conceitos-no-psiquismo.md,"- **Grafia preferida:** Arquivos Mentais - **Variações:** ""arquivo mental"" (singular); ""Arquivos Mentais"" (título do capítulo/série) - **Obs.:** conceito central da série Mentalma;"
as cartas ao Criador,Cartas a Javé,RC-416,variacao,etimologia,conceitual,nao,0,verificado,alta,RC-416-cartas-a-jave-obra-e-dialogo.md,- **Grafia preferida:** Cartas a Javé - **Variações:** as cartas ao Criador; o diálogo com Javé; cartas e respostas
as dez eras,Eras da Criação,RC-155,variacao,etimologia,conceitual,nao,0,verificado,alta,RC-155-eras-da-criacao-10-eras.md,- **Grafia preferida:** Eras da Criação - **Variações:** eras universais; as dez eras; eras da Criação Universal
"as suas Hostes"" (B057",Hostes de Sophia,RC-453,variacao,etimologia,conceitual,nao,0,verificado,alta,RC-453-hostes-de-sophia.md,"- **Grafia preferida:** Hostes de Sophia - **Variações:** ""as suas Hostes"" (B057/B058); ""Hostes de Comando"" (B058, p. 67); ""Hostes bélicas"" (B058, p. 74); ""Assessores""/""Administrad"
as três Gunas,Gunas,RC-151,variacao,etimologia,conceitual,nao,0,verificado,alta,RC-151-gunas-criadoras-sattva-rajas-tamas.md,"- **Grafia preferida:** Gunas - **Variações:** as três Gunas; energias Rajas, Sattva e Tamas; gunas criadoras - **Origem:** sânscrito (guṇa = qualidade/atributo)"
as três partes de crônicas (espontâneas,As Memórias de Javé,RC-421,variacao,etimologia,conceitual,nao,0,verificado,alta,RC-421-as-memorias-de-jave-cronicas.md,- **Grafia preferida:** As Memórias de Javé - **Variações:** Memórias de Javé; crônicas de Javé; as três partes de crônicas (espontâneas / nem tanto / forçadas)
Assiah,Planos de Existência da Cabala,RC-264,variacao,etimologia,referencia_oral,nao,0,verificado,alta,RC-264-planos-de-existencia-da-cabala-atziluth-briah-yetzirah-assiah.md,- **Grafia preferida:** Planos de Existência da Cabala - **Variações:** quatro universos-mundos; níveis dimensionais da Cabala; Atziluth/Briah/Yetzirah/Assiah (grafias variam: Atzi
Assiah (grafias variam: Atzilut,Planos de Existência da Cabala,RC-264,variacao,etimologia,referencia_oral,nao,0,verificado,alta,RC-264-planos-de-existencia-da-cabala-atziluth-briah-yetzirah-assiah.md,- **Grafia preferida:** Planos de Existência da Cabala - **Variações:** quatro universos-mundos; níveis dimensionais da Cabala; Atziluth/Briah/Yetzirah/Assiah (grafias variam: Atzi
Assiá,Planos de Existência da Cabala,RC-264,variacao,etimologia,referencia_oral,nao,0,verificado,alta,RC-264-planos-de-existencia-da-cabala-atziluth-briah-yetzirah-assiah.md,- **Grafia preferida:** Planos de Existência da Cabala - **Variações:** quatro universos-mundos; níveis dimensionais da Cabala; Atziluth/Briah/Yetzirah/Assiah (grafias variam: Atzi
Atlan (grupo de estudos,Grupo Atlan,RC-388,variacao,etimologia,conceitual,nao,0,verificado,alta,RC-388-grupo-atlan.md,- **Grafia preferida:** Grupo Atlan - **Variações:** Atlan (grupo de estudos); Casa de Lucas (nome anterior); Grupo Atlan (IEEA)
Atom,Brahma,RC-037,variacao,etimologia,conceitual,nao,0,verificado,alta,RC-037-brahma-brajna.md,"- **Grafia preferida:** Brahma - **Variações:** Brajna (condição Adhyatman, antes da queda); identificado a Javé, Caos, Pan Ku, Alá, Atom"
Atom,Caos = Brahma = Javé,RC-284,variacao,etimologia,referencia_oral,nao,0,em análise,baixa,RC-284-caos-brahma-jave-correspondencia.md,"- **Grafia preferida:** Caos = Brahma = Javé - **Variações:** Caos/Brahma/Javé; Caos (Javé); Caos = Brahma = Javé (cadeia completa com Jeová, Alá, Pangu, Atom) - **Idioma de origem"
atração entre iguais,Homoafetividade,RC-434,variacao,etimologia,conceitual,nao,0,verificado,alta,RC-434-homoafetividade-resquicio-da-forca-original.md,- **Grafia preferida:** Homoafetividade - **Variações:** homoafetividade (título); atração entre iguais; identidade de gênero (tema adjacente)
Atziluth,Planos de Existência da Cabala,RC-264,variacao,etimologia,referencia_oral,nao,0,verificado,alta,RC-264-planos-de-existencia-da-cabala-atziluth-briah-yetzirah-assiah.md,- **Grafia preferida:** Planos de Existência da Cabala - **Variações:** quatro universos-mundos; níveis dimensionais da Cabala; Atziluth/Briah/Yetzirah/Assiah (grafias variam: Atzi
B058,Hostes de Sophia,RC-453,variacao,etimologia,conceitual,nao,0,verificado,alta,RC-453-hostes-de-sophia.md,"- **Grafia preferida:** Hostes de Sophia - **Variações:** ""as suas Hostes"" (B057/B058); ""Hostes de Comando"" (B058, p. 67); ""Hostes bélicas"" (B058, p. 74); ""Assessores""/""Administrad"
Babilônia,Culto a Lilith (Transformação em Deusa Lil Babilônica),RC-813,variacao,etimologia,referencia_oral,nao,0,verificado,média,RC-813-culto-a-lilith-babilonia.md,"- **Grafia preferida:** Culto a Lilith (Transformação em Deusa Lil Babilônica) - **Variações STT capturadas:** ""Lil"", ""Lil transformou-se em deusa"", ""Babilônia"", ""mesa"" (= Babel?) "
Beriá,Planos de Existência da Cabala,RC-264,variacao,etimologia,referencia_oral,nao,0,verificado,alta,RC-264-planos-de-existencia-da-cabala-atziluth-briah-yetzirah-assiah.md,- **Grafia preferida:** Planos de Existência da Cabala - **Variações:** quatro universos-mundos; níveis dimensionais da Cabala; Atziluth/Briah/Yetzirah/Assiah (grafias variam: Atzi
Bhava (Hindu,Elm,RC-454,variacao,etimologia,conceitual,nao,0,em análise,baixa,RC-454-elm-moros---ser-lm-de-temperion.md,- **Grafia preferida:** Elm - **⚠️ GRAFIA OFICIAL DO EPÍTETO/VARIAÇÃO FONÉTICA (o ser de 4 cabeças): MORREN SO** — consagrada pela Devolutiva O-4 da P2022-09-24 (antes o STT captur
Bhuloka (sânscrito,Universo Material,RC-107,variacao,etimologia,conceitual,nao,0,verificado,alta,RC-107-universo-material-bhuloka.md,- **Grafia preferida:** Universo Material - **Variações:** Bhuloka (sânscrito); nosso universo; universo biológico
Bifröst,Bifrost (Portal interdimensional),RC-471,variacao,etimologia,conceitual,nao,0,verificado,alta,RC-471-bifrost-portal-interdimensional.md,"- **Forma preferida:** Bifrost; - **variações:** Bifröst; - **STT:** B Frost, Be Frost."
"big data"" do Criador",Big Data Cósmico,RC-194,variacao,etimologia,conceitual,nao,0,verificado,alta,RC-194-big-data-cosmico.md,"- **Grafia preferida:** Big Data Cósmico - **Variações:** ""big data"" do Criador; supercontrole informacional; monitoramento genético cósmico"
"biocoletivos"" (B058",Biocoletivos,RC-445,variacao,etimologia,conceitual,nao,0,verificado,alta,RC-445-biocoletivos.md,"- **Grafia preferida:** Biocoletivos - **Variações:** ""entes coletivos"" (B057); ""biocoletivos"" (B058) - **Idioma de origem / etimologia:** português — bio- + coletivo (neologismo d"
Biocosmos,Mente Universal (Emergente),RC-163,variacao,etimologia,conceitual,nao,0,verificado,alta,RC-163-mente-universal-emergente.md,- Grafia preferida: Mente Universal (Emergente) - Variações: Mente Universal; Biocosmos; Mente-una - Par declarado pela fonte: RC-879 (variação)
biodemos (plural,Biodemos,RC-036,variacao,etimologia,conceitual,nao,0,verificado,alta,RC-036-biodemos.md,"- **Grafia preferida:** Biodemos - **Variações:** ""estirpe dos biodemos"" (B057); biodemos (plural) - **Obs.:** não confundir com **Demos** (RC-049) — categoria/estirpe distinta na "
"bloqueio mental"" ""rompido"" (B058",Deslacre (rompimento dos lacres psíquicos),RC-448,variacao,etimologia,referencia_oral,nao,0,provisório,média,RC-448-deslacre-rompimento-dos-lacres-psiquicos.md,"- **Grafia preferida:** Deslacre (rompimento dos lacres psíquicos) - **Variações:** ""deslacre"" (B058); ""lacres mentais"" / ""lacre mental"" (B057); ""bloqueio mental"" ""rompido"" (B058, "
Brahma,Criador,RC-041,variacao,etimologia,conceitual,nao,0,verificado,alta,RC-041-criador-brahma-jave-demiurgo.md,"- **Grafia preferida:** Criador - **Variações:** Brahma; Javé; Deus Bíblico; Demiurgo (Platão); ""Criador caído"""
Brahma,Caos = Brahma = Javé,RC-284,variacao,etimologia,referencia_oral,nao,0,em análise,baixa,RC-284-caos-brahma-jave-correspondencia.md,"- **Grafia preferida:** Caos = Brahma = Javé - **Variações:** Caos/Brahma/Javé; Caos (Javé); Caos = Brahma = Javé (cadeia completa com Jeová, Alá, Pangu, Atom) - **Idioma de origem"
Brahma,Jeová,RC-346,variacao,etimologia,conceitual,nao,0,verificado,alta,RC-346-jeova-grafia-da-trilogia.md,"- **Grafia preferida:** Jeová - **Variações:** Jeová = Javé (obras posteriores); Jeová = Caos/Brahma/Javé (RC-284) - **Idioma de origem:** hebraico (YHWH), forma portuguesa ""Jeová"""
Brahma (no sistema RC,Javé,RC-001,variacao,etimologia,conceitual,nao,0,verificado,alta,RC-001-jave.md,- **Grafia preferida:** Javé - **Variações:** Senhor Javé; Jeová; Yahweh; YHWH; Deus Bíblico; Brahma (no sistema RC); Criador - **Idioma de origem:** Hebraico (tetragrama YHWH)
Brahmaloka (termo sânscrito,Universo Antimaterial,RC-106,variacao,etimologia,conceitual,nao,0,verificado,alta,RC-106-universo-antimaterial-brahmaloka-universo-paralelo.md,- **Grafia preferida:** Universo Antimaterial - **Variações:** Universo Paralelo (sinônimo); Brahmaloka (termo sânscrito); universo demo
Brahman,Deidade,RC-047,variacao,etimologia,conceitual,nao,0,verificado,alta,RC-047-deidade-pai-mae-amantissimo-brahman.md,- **Grafia preferida:** Deidade - **Variações:** Pai-Mãe Amantíssimo; Ser Supremo; Brahman; Deus Incognoscível; Fonte
Brajna (condição Adhyatman,Brahma,RC-037,variacao,etimologia,conceitual,nao,0,verificado,alta,RC-037-brahma-brajna.md,"- **Grafia preferida:** Brahma - **Variações:** Brajna (condição Adhyatman, antes da queda); identificado a Javé, Caos, Pan Ku, Alá, Atom"
Briah,Planos de Existência da Cabala,RC-264,variacao,etimologia,referencia_oral,nao,0,verificado,alta,RC-264-planos-de-existencia-da-cabala-atziluth-briah-yetzirah-assiah.md,- **Grafia preferida:** Planos de Existência da Cabala - **Variações:** quatro universos-mundos; níveis dimensionais da Cabala; Atziluth/Briah/Yetzirah/Assiah (grafias variam: Atzi
brâmanes,Castas Trimurtianas,RC-321,variacao,etimologia,conceitual,nao,0,verificado,alta,RC-321-castas-trimurtianas.md,- **Grafia preferida:** Castas Trimurtianas - **Variações:** sistema de castas; castas arianas/hindus; varna (sânscrito); brâmanes/xátrias/vaixás/sudras
buraco negro,Pandemia de Buraco Branco que Traga (Javé Tragado pela Criação),RC-809,variacao,etimologia,referencia_oral,nao,0,verificado,média,RC-809-pandemia-buraco-branco-que-traga.md,"- **Grafia preferida:** Pandemia de Buraco Branco que Traga (Javé Tragado pela Criação) - **Variações STT capturadas:** ""buraco branco"", ""buraco negro"", ""tragado"", ""criação tragou"""
cadeia de mulheres que produziram a racionalidade,Sequência Formativa da Racionalidade Humana,RC-785,variacao,etimologia,referencia_oral,nao,0,em análise,baixa,RC-785-sequencia-formativa-da-racionalidade-humana.md,"- **Grafia preferida:** Sequência Formativa da Racionalidade Humana - **Variações STT capturadas:** ""Pandora, Lilif, Irra, Eva, Noreia"", ""cadeia de mulheres que produziram a racion"
Caibá,Saibaba como Precursor de Jesus,RC-801,variacao,etimologia,referencia_oral,nao,0,em análise,baixa,RC-801-saibaba-como-precursor-de-jesus.md,"- **Grafia preferida:** Saibaba como Precursor de Jesus - **Variações STT capturadas:** ""Caibá"", ""Caibá"", ""Saibaba"", ""Saibá"", ""saibá"", ""prima sai"" (STT fonética) - **Linhagem encar"
"calmeias"" (= colmeias?",Sistema Arcaico Mental (Javé Como Abelha Rainha),RC-828,variacao,etimologia,referencia_oral,nao,0,verificado,alta,RC-828-sistema-arcaico-mental-jave-abelha-rainha.md,"- **Grafia preferida:** Sistema Arcaico Mental (Javé Como Abelha Rainha) - **Variações STT capturadas:** ""sistema arcaico"", ""sistema arcaico mental"", ""Javé abelha rainha"", ""clones "
Calvário de um Inocente,O Calvário de um Inocente,RC-236,variacao,etimologia,referencia_oral,nao,0,verificado,alta,RC-236-o-calvario-de-um-inocente.md,- **Grafia preferida:** O Calvário de um Inocente - **Variações:** Calvário de um Inocente; a crucificação de Jesus (evento subjacente)
Caos (Javé,Caos = Brahma = Javé,RC-284,variacao,etimologia,referencia_oral,nao,0,em análise,baixa,RC-284-caos-brahma-jave-correspondencia.md,"- **Grafia preferida:** Caos = Brahma = Javé - **Variações:** Caos/Brahma/Javé; Caos (Javé); Caos = Brahma = Javé (cadeia completa com Jeová, Alá, Pangu, Atom) - **Idioma de origem"
Caos = Brahma = Javé (cadeia completa com Jeová,Caos = Brahma = Javé,RC-284,variacao,etimologia,referencia_oral,nao,0,em análise,baixa,RC-284-caos-brahma-jave-correspondencia.md,"- **Grafia preferida:** Caos = Brahma = Javé - **Variações:** Caos/Brahma/Javé; Caos (Javé); Caos = Brahma = Javé (cadeia completa com Jeová, Alá, Pangu, Atom) - **Idioma de origem"
caos personificado,Javé como Caos Personificado,RC-782,variacao,etimologia,conceitual,nao,0,verificado,média,RC-782-jave-como-caos-personificado.md,"- **Grafia preferida:** Javé como Caos Personificado - **Variações STT capturadas:** ""caos"", ""Javé é o caos"", ""caos personificado"" - **Idioma de origem:** Grego antigo (Χάος ""chaos"
cartas e respostas,Cartas a Javé,RC-416,variacao,etimologia,conceitual,nao,0,verificado,alta,RC-416-cartas-a-jave-obra-e-dialogo.md,- **Grafia preferida:** Cartas a Javé - **Variações:** as cartas ao Criador; o diálogo com Javé; cartas e respostas
Casa de Lucas (nome anterior,Grupo Atlan,RC-388,variacao,etimologia,conceitual,nao,0,verificado,alta,RC-388-grupo-atlan.md,- **Grafia preferida:** Grupo Atlan - **Variações:** Atlan (grupo de estudos); Casa de Lucas (nome anterior); Grupo Atlan (IEEA)
castas arianas,Castas Trimurtianas,RC-321,variacao,etimologia,conceitual,nao,0,verificado,alta,RC-321-castas-trimurtianas.md,- **Grafia preferida:** Castas Trimurtianas - **Variações:** sistema de castas; castas arianas/hindus; varna (sânscrito); brâmanes/xátrias/vaixás/sudras
centauros,Quinaras / Centauros (seres reais),RC-790,variacao,etimologia,referencia_oral,nao,0,verificado,média,RC-790-quinaras-centauros-seres-reais.md,"- **Grafia preferida:** Quinaras / Centauros (seres reais) - **Variações STT capturadas:** ""Quináas"", ""Quinaras"", ""centauros"", ""onocentauros"", ""centauros esclarecidos"", ""centauros "
centauros esclarecidos,Quinaras / Centauros (seres reais),RC-790,variacao,etimologia,referencia_oral,nao,0,verificado,média,RC-790-quinaras-centauros-seres-reais.md,"- **Grafia preferida:** Quinaras / Centauros (seres reais) - **Variações STT capturadas:** ""Quináas"", ""Quinaras"", ""centauros"", ""onocentauros"", ""centauros esclarecidos"", ""centauros "
centauros retardados,Quinaras / Centauros (seres reais),RC-790,variacao,etimologia,referencia_oral,nao,0,verificado,média,RC-790-quinaras-centauros-seres-reais.md,"- **Grafia preferida:** Quinaras / Centauros (seres reais) - **Variações STT capturadas:** ""Quináas"", ""Quinaras"", ""centauros"", ""onocentauros"", ""centauros esclarecidos"", ""centauros "
Centrais de Realidades,Fornos Replicadores,RC-771,variacao,etimologia,conceitual,nao,0,em análise,baixa,RC-771-fornos-replicadores.md,"- Grafia preferida: Fornos Replicadores. Variações: fornos geradores de vida; Centrais de Realidades; laboratórios dimensionais. - STT: ""forno de Alamaior"" = Awaymaion (RC-499) — r"
centralizar o poder,Mudança de Estratégia das Trevas (Centralizar → Espalhar),RC-798,variacao,etimologia,referencia_oral,nao,0,verificado,média,RC-798-mudanca-de-estrategia-das-trevas.md,"- **Grafia preferida:** Mudança de Estratégia das Trevas (Centralizar → Espalhar) - **Variações STT capturadas:** ""mudança de estratégia"", ""espalharam o mal"", ""centralizar o poder"""
centro de convergência,Point Interdimensional,RC-896,variacao,etimologia,conceitual,nao,0,verificado,média,RC-896-point-interdimensional.md,- **Grafia preferida:** Point Interdimensional - **Variações:** point; centro de convergência; ponto de encontro - **Idioma de origem:** Inglês (point)
centro farmacopédico,Centro Alquímico-Farmacopédico,RC-789,variacao,etimologia,conceitual,nao,0,verificado,média,RC-789-centro-alquimico-farmacopedico.md,"- **Grafia preferida:** Centro Alquímico-Farmacopédico - **Variações STT capturadas:** ""centro alquímico"", ""centro farmacopédico"", ""criatório de Prometeu"", ""criatório de Epimeteu"" "
